id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
174430,boardgame,Gloomhaven,2017,1,4,120,60,120,12,19397,8.94697,8.62115,32359,134,1322,10723,3993,847,3.7603
161936,boardgame,Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,27985,8.65246,8.495,44562,180,784,7987,4489,805,2.8311
182028,boardgame,Through the Ages: A New Story of Civilization,2015,2,4,240,180,240,14,13639,8.57667,8.28223,17290,193,1056,6054,2006,679,4.38
167791,boardgame,Terraforming Mars,2016,1,5,120,120,120,12,30804,8.38949,8.21549,39120,158,2054,11829,4702,1083,3.2382
12333,boardgame,Twilight Struggle,2005,2,2,180,120,180,13,32474,8.33038,8.18605,44447,702,1348,8577,7427,3155,3.5588
187645,boardgame,Star Wars: Rebellion,2016,2,4,240,180,240,14,14629,8.45699,8.16313,22356,175,1336,7459,2384,487,3.6509
169786,boardgame,Scythe,2016,1,5,115,90,115,14,33158,8.28403,8.10944,42939,236,1848,12225,5318,1263,3.3579
220308,boardgame,Gaia Project,2017,1,4,150,60,150,12,6723,8.60696,8.08486,8355,49,1008,5032,1040,470,4.3064
120677,boardgame,Terra Mystica,2012,2,5,150,60,150,12,30583,8.21645,8.07131,33957,480,1774,10451,4691,2207,3.9524
193738,boardgame,Great Western Trail,2016,2,4,150,75,150,12,15685,8.29041,8.0652,19216,87,1559,6297,2152,607,3.6886
84876,boardgame,The Castles of Burgundy,2011,2,4,90,30,90,12,33563,8.12421,8.0074,46660,463,1128,7014,6025,1837,3.0218
115746,boardgame,War of the Ring (Second Edition),2012,2,4,180,150,180,13,8818,8.39568,8.00484,14336,159,1064,5326,1727,506,4.0573
180263,boardgame,The 7th Continent,2017,1,4,1000,5,1000,14,7565,8.54959,8.00394,14747,67,1131,6761,1969,224,2.8839
173346,boardgame,7 Wonders Duel,2015,2,2,30,30,30,10,35345,8.1394,8.0029,54572,385,931,5673,5025,1057,2.2318
3076,boardgame,Puerto Rico,2002,2,5,150,90,150,12,54174,8.04965,7.93745,62750,1073,1019,7986,10936,5690,3.291
102794,boardgame,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,22104,8.0971,7.93358,28155,354,1747,8802,3620,1244,3.7765
233078,boardgame,Twilight Imperium (Fourth Edition),2017,3,6,480,240,480,14,4239,8.77541,7.92645,6178,20,630,4089,782,204,4.1471
183394,boardgame,Viticulture Essential Edition,2015,1,6,90,45,90,13,14061,8.15307,7.91641,19027,97,1304,5399,2008,365,2.9178
205637,boardgame,Arkham Horror: The Card Game,2016,1,2,120,60,120,14,14151,8.24482,7.91469,26524,311,738,4880,2315,404,3.2723
31260,boardgame,Agricola,2007,1,5,150,30,150,12,54848,8.00953,7.91034,66014,1152,1117,8929,11574,5673,3.6346
124361,boardgame,Concordia,2013,2,5,100,100,100,13,17048,8.08492,7.90517,19795,128,1564,6099,3032,762,3.0919
96848,boardgame,Mage Knight Board Game,2011,1,4,240,60,240,14,22274,8.10901,7.90261,32832,818,1230,8876,4728,2025,4.2519
